Dataset;#TrainingRelease;%Training;%DefectiveInTraining;%DefectiveInTesting;Classifier;Balancing;FeatureSelection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;43.67;0;19.38;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;0;183;44;0;0;0.338115;0
BOOKKEEPER;2;56.44;15.88;9;NAIVE_BAYES;true;true;NO COST SENSITIVITY;13;26;257;15;0.333333;0.464286;0.764324;0.31641
BOOKKEEPER;3;66.67;17.09;9.52;NAIVE_BAYES;true;true;NO COST SENSITIVITY;26;21;302;8;0.553191;0.764706;0.922601;0.597488
BOOKKEEPER;4;73.96;12.7;1.06;NAIVE_BAYES;true;true;NO COST SENSITIVITY;2;18;355;2;0.1;0.5;0.708445;0.151665
BOOKKEEPER;1;43.67;0;19.38;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;0;0;183;44;0;0;0.5;0
BOOKKEEPER;2;56.44;15.88;9;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;8;9;274;20;0.470588;0.285714;0.626956;0.308518
BOOKKEEPER;3;66.67;17.09;9.52;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;21;6;317;13;0.777778;0.617647;0.799536;0.659847
BOOKKEEPER;4;73.96;12.7;1.06;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;1;8;365;3;0.111111;0.25;0.614276;0.14123
BOOKKEEPER;1;43.67;0;19.38;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;183;44;0;0;0.338115;0
BOOKKEEPER;2;56.44;15.88;9;NAIVE_BAYES;true;true;SENSITIVE LEARNING;27;278;5;1;0.088525;0.964286;0.545116;-0.003307
BOOKKEEPER;3;66.67;17.09;9.52;NAIVE_BAYES;true;true;SENSITIVE LEARNING;26;33;290;8;0.440678;0.764706;0.908441;0.498544
BOOKKEEPER;4;73.96;12.7;1.06;NAIVE_BAYES;true;true;SENSITIVE LEARNING;2;34;339;2;0.055556;0.5;0.823727;0.082477
