"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"BOOKKEEPER";"1";"43.67";"0.00";"19.38";"RANDOM_FOREST";"true";"true";"true";"0";"0";"183";"44";"0";"0.000000";"0.500000";"0.000000"
"BOOKKEEPER";"1";"43.67";"0.00";"19.38";"NAIVE_BAYES";"true";"true";"true";"0";"0";"183";"44";"0";"0.000000";"0.338115";"0.000000"
"BOOKKEEPER";"1";"43.67";"0.00";"19.38";"IBK";"true";"true";"true";"0";"0";"183";"44";"0";"0.000000";"0.617611";"0.000000"
"BOOKKEEPER";"2";"56.44";"15.88";"9.00";"RANDOM_FOREST";"true";"true";"true";"20";"101";"182";"8";"0.165289";"0.714286";"0.795495";"0.143164"
"BOOKKEEPER";"2";"56.44";"15.88";"9.00";"NAIVE_BAYES";"true";"true";"true";"27";"278";"5";"1";"0.088525";"0.964286";"0.545116";"-0.003307"
"BOOKKEEPER";"2";"56.44";"15.88";"9.00";"IBK";"true";"true";"true";"23";"236";"47";"5";"0.088803";"0.821429";"0.487822";"-0.002649"
"BOOKKEEPER";"3";"66.67";"17.09";"9.52";"RANDOM_FOREST";"true";"true";"true";"25";"74";"249";"9";"0.252525";"0.735294";"0.862093";"0.272841"
"BOOKKEEPER";"3";"66.67";"17.09";"9.52";"NAIVE_BAYES";"true";"true";"true";"26";"33";"290";"8";"0.440678";"0.764706";"0.908441";"0.498544"
"BOOKKEEPER";"3";"66.67";"17.09";"9.52";"IBK";"true";"true";"true";"27";"47";"276";"7";"0.364865";"0.794118";"0.824303";"0.424949"
"BOOKKEEPER";"4";"73.96";"12.70";"1.06";"RANDOM_FOREST";"true";"true";"true";"1";"11";"362";"3";"0.083333";"0.250000";"0.935992";"0.110849"
"BOOKKEEPER";"4";"73.96";"12.70";"1.06";"NAIVE_BAYES";"true";"true";"true";"2";"34";"339";"2";"0.055556";"0.500000";"0.823727";"0.082477"
"BOOKKEEPER";"4";"73.96";"12.70";"1.06";"IBK";"true";"true";"true";"2";"22";"351";"2";"0.083333";"0.500000";"0.721180";"0.126978"
