Dataset;#TrainingRelease;%Training;%DefectiveInTraining;%DefectiveInTesting;Classifier;Balancing;FeatureSelection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
SYNCOPE;1;49.95;0;0.2;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;0;489;1;NaN;0;0.993865;0
SYNCOPE;2;66.55;0.41;0;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;488;4;0;0;NaN;NaN;0
SYNCOPE;3;74.94;0.27;0;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;125;367;0;0;NaN;NaN;0
SYNCOPE;4;79.03;0.2;0.38;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;73;446;2;0;0;0.682563;-0.007529
SYNCOPE;5;80.83;0.16;10.02;NAIVE_BAYES;true;true;NO COST SENSITIVITY;38;118;412;21;0.24359;0.644068;0.757979;0.243525
SYNCOPE;6;83.14;0.2;7.54;NAIVE_BAYES;true;true;NO COST SENSITIVITY;36;109;467;11;0.248276;0.765957;0.778184;0.294624
SYNCOPE;7;85.3;1.22;5.34;NAIVE_BAYES;true;true;NO COST SENSITIVITY;10;112;491;24;0.081967;0.294118;0.502268;0.048794
SYNCOPE;8;87.03;1.89;18.42;NAIVE_BAYES;true;true;NO COST SENSITIVITY;45;131;396;74;0.255682;0.378151;0.682897;0.109307
SYNCOPE;9;88.52;1.65;2.94;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;34;593;19;0;0;0.212331;-0.039216
SYNCOPE;10;89.68;1.46;3.4;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;2;623;22;0;0;0.230655;-0.005699
SYNCOPE;11;90.61;1.39;2.92;NAIVE_BAYES;true;true;NO COST SENSITIVITY;1;26;605;18;0.037037;0.052632;0.178122;0.00949
SYNCOPE;12;91.37;1.52;54.13;NAIVE_BAYES;true;true;NO COST SENSITIVITY;51;3;297;303;0.944444;0.144068;0.91081;0.124567
SYNCOPE;13;92.09;1.4;54.99;NAIVE_BAYES;true;true;NO COST SENSITIVITY;236;11;282;122;0.955466;0.659218;0.923461;0.601006
SYNCOPE;14;92.58;6.44;59.03;NAIVE_BAYES;true;true;NO COST SENSITIVITY;329;0;270;60;1;0.845758;0.998205;0.817956
SYNCOPE;15;93.17;11.22;0.46;NAIVE_BAYES;true;true;NO COST SENSITIVITY;2;381;267;1;0.005222;0.666667;0.754115;0.001229
SYNCOPE;16;93.6;14.95;0.15;NAIVE_BAYES;true;true;NO COST SENSITIVITY;1;373;278;0;0.002674;1;0.993088;0.002281
SYNCOPE;17;93.23;14.02;56.49;NAIVE_BAYES;true;true;NO COST SENSITIVITY;357;29;293;61;0.92487;0.854067;0.952265;0.755384
SYNCOPE;18;93.6;13.08;54.22;NAIVE_BAYES;true;true;NO COST SENSITIVITY;7;0;342;398;1;0.017284;0.894426;0.015849
SYNCOPE;19;93.87;12.25;54.52;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;0;347;416;NaN;0;0.48141;0
SYNCOPE;20;94.18;14.74;12.76;NAIVE_BAYES;true;true;NO COST SENSITIVITY;41;381;289;57;0.097156;0.418367;0.478267;-0.062328
SYNCOPE;21;94.18;20.13;1.84;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;569;232;15;0;0;0.263837;-0.037151
SYNCOPE;22;93.46;19.7;21.81;NAIVE_BAYES;true;true;NO COST SENSITIVITY;0;0;767;214;NaN;0;0.52949;0
SYNCOPE;23;93.23;18.6;23.85;NAIVE_BAYES;true;true;NO COST SENSITIVITY;14;0;830;246;1;0.053846;0.531701;0.079758
SYNCOPE;24;95.11;17.45;3.02;NAIVE_BAYES;true;true;NO COST SENSITIVITY;22;0;802;3;1;0.88;0.94;0.934311
SYNCOPE;25;91.96;19.29;0.54;NAIVE_BAYES;true;true;NO COST SENSITIVITY;2;77;1394;6;0.025316;0.25;0.660817;0.036512
