"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"RANDOM_FOREST";"true";"true";"false";"0";"0";"489";"1";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"NAIVE_BAYES";"true";"true";"false";"0";"0";"489";"1";"NaN";"0,000000";"0,993865";"0,000000"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"IBK";"true";"true";"false";"0";"0";"489";"1";"NaN";"0,000000";"0,871166";"0,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"RANDOM_FOREST";"true";"true";"false";"0";"1";"491";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"NAIVE_BAYES";"true";"true";"false";"0";"488";"4";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"IBK";"true";"true";"false";"0";"1";"491";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"RANDOM_FOREST";"true";"true";"false";"0";"228";"264";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"NAIVE_BAYES";"true";"true";"false";"0";"125";"367";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"IBK";"true";"true";"false";"0";"223";"269";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"RANDOM_FOREST";"true";"true";"false";"1";"147";"372";"1";"0,006757";"0,500000";"0,726879";"0,005802"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"NAIVE_BAYES";"true";"true";"false";"0";"73";"446";"2";"0,000000";"0,000000";"0,682563";"-0,007529"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"IBK";"true";"true";"false";"1";"147";"372";"1";"0,006757";"0,500000";"0,736031";"0,005802"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"RANDOM_FOREST";"true";"true";"false";"28";"97";"433";"31";"0,224000";"0,474576";"0,657963";"0,194754"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"NAIVE_BAYES";"true";"true";"false";"38";"118";"412";"21";"0,243590";"0,644068";"0,757979";"0,243525"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"IBK";"true";"true";"false";"26";"75";"455";"33";"0,257426";"0,440678";"0,553758";"0,227278"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"RANDOM_FOREST";"true";"true";"false";"30";"145";"431";"17";"0,171429";"0,638298";"0,749280";"0,171760"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"NAIVE_BAYES";"true";"true";"false";"36";"109";"467";"11";"0,248276";"0,765957";"0,778184";"0,294624"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"IBK";"true";"true";"false";"30";"145";"431";"17";"0,171429";"0,638298";"0,649158";"0,171760"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"RANDOM_FOREST";"true";"true";"false";"12";"111";"492";"22";"0,097561";"0,352941";"0,545605";"0,075552"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"NAIVE_BAYES";"true";"true";"false";"10";"112";"491";"24";"0,081967";"0,294118";"0,502268";"0,048794"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"IBK";"true";"true";"false";"20";"470";"133";"14";"0,040816";"0,588235";"0,434080";"-0,026093"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"RANDOM_FOREST";"true";"true";"false";"119";"378";"149";"0";"0,239437";"1,000000";"0,747142";"0,126809"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"NAIVE_BAYES";"true";"true";"false";"45";"131";"396";"74";"0,255682";"0,378151";"0,682897";"0,109307"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"IBK";"true";"true";"false";"115";"336";"191";"4";"0,254989";"0,966387";"0,664567";"0,158087"
"SYNCOPE";"9";"88,52";"1,65";"2,94";"RANDOM_FOREST";"true";"true";"false";"0";"21";"606";"19";"0,000000";"0,000000";"0,518887";"-0,031866"
"SYNCOPE";"9";"88,52";"1,65";"2,94";"NAIVE_BAYES";"true";"true";"false";"0";"34";"593";"19";"0,000000";"0,000000";"0,212331";"-0,039216"
"SYNCOPE";"9";"88,52";"1,65";"2,94";"IBK";"true";"true";"false";"0";"124";"503";"19";"0,000000";"0,000000";"0,401914";"-0,053749"
"SYNCOPE";"10";"89,68";"1,46";"3,40";"RANDOM_FOREST";"true";"true";"false";"1";"63";"562";"21";"0,015625";"0,045455";"0,590655";"-0,028812"
"SYNCOPE";"10";"89,68";"1,46";"3,40";"NAIVE_BAYES";"true";"true";"false";"0";"2";"623";"22";"0,000000";"0,000000";"0,230655";"-0,005699"
"SYNCOPE";"10";"89,68";"1,46";"3,40";"IBK";"true";"true";"false";"0";"70";"555";"22";"0,000000";"0,000000";"0,459200";"-0,054567"
"SYNCOPE";"11";"90,61";"1,39";"2,92";"RANDOM_FOREST";"true";"true";"false";"5";"119";"512";"14";"0,040323";"0,263158";"0,675077";"0,020263"
"SYNCOPE";"11";"90,61";"1,39";"2,92";"NAIVE_BAYES";"true";"true";"false";"1";"26";"605";"18";"0,037037";"0,052632";"0,178122";"0,009490"
"SYNCOPE";"11";"90,61";"1,39";"2,92";"IBK";"true";"true";"false";"4";"68";"563";"15";"0,055556";"0,210526";"0,552006";"0,043677"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"RANDOM_FOREST";"true";"true";"false";"26";"6";"294";"328";"0,812500";"0,073446";"0,772924";"0,049402"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"NAIVE_BAYES";"true";"true";"false";"51";"3";"297";"303";"0,944444";"0,144068";"0,910810";"0,124567"
