"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"RANDOM_FOREST";"true";"true";"true";"0";"0";"489";"1";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"NAIVE_BAYES";"true";"true";"true";"0";"0";"489";"1";"NaN";"0,000000";"0,993865";"0,000000"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"IBK";"true";"true";"true";"0";"0";"489";"1";"NaN";"0,000000";"0,871166";"0,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"RANDOM_FOREST";"true";"true";"true";"0";"0";"492";"0";"NaN";"NaN";"NaN";"1,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"NAIVE_BAYES";"true";"true";"true";"0";"0";"492";"0";"NaN";"NaN";"NaN";"1,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"IBK";"true";"true";"true";"0";"0";"492";"0";"NaN";"NaN";"NaN";"1,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"RANDOM_FOREST";"true";"true";"true";"0";"39";"453";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"NAIVE_BAYES";"true";"true";"true";"0";"62";"430";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"IBK";"true";"true";"true";"0";"39";"453";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"RANDOM_FOREST";"true";"true";"true";"0";"0";"519";"2";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"NAIVE_BAYES";"true";"true";"true";"0";"0";"519";"2";"NaN";"0,000000";"0,300578";"0,000000"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"IBK";"true";"true";"true";"0";"0";"519";"2";"NaN";"0,000000";"0,751927";"0,000000"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"RANDOM_FOREST";"true";"true";"true";"0";"0";"530";"59";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"NAIVE_BAYES";"true";"true";"true";"0";"0";"530";"59";"NaN";"0,000000";"0,206764";"0,000000"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"IBK";"true";"true";"true";"0";"0";"530";"59";"NaN";"0,000000";"0,820371";"0,000000"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"RANDOM_FOREST";"true";"true";"true";"0";"0";"576";"47";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"NAIVE_BAYES";"true";"true";"true";"0";"0";"576";"47";"NaN";"0,000000";"0,243406";"0,000000"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"IBK";"true";"true";"true";"0";"0";"576";"47";"NaN";"0,000000";"0,736462";"0,000000"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"RANDOM_FOREST";"true";"true";"true";"10";"102";"501";"24";"0,089286";"0,294118";"0,563116";"0,060010"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"NAIVE_BAYES";"true";"true";"true";"9";"101";"502";"25";"0,081818";"0,264706";"0,511023";"0,047313"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"IBK";"true";"true";"true";"9";"95";"508";"25";"0,086538";"0,264706";"0,553531";"0,054358"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"RANDOM_FOREST";"true";"true";"true";"119";"378";"149";"0";"0,239437";"1,000000";"0,763837";"0,126809"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"NAIVE_BAYES";"true";"true";"true";"115";"366";"161";"4";"0,239085";"0,966387";"0,693740";"0,124860"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"IBK";"true";"true";"true";"115";"338";"189";"4";"0,253863";"0,966387";"0,662510";"0,155775"
"SYNCOPE";"9";"88,52";"1,65";"2,94";"RANDOM_FOREST";"true";"true";"true";"0";"17";"610";"19";"0,000000";"0,000000";"0,791069";"-0,028571"
"SYNCOPE";"9";"88,52";"1,65";"2,94";"NAIVE_BAYES";"true";"true";"true";"0";"27";"600";"19";"0,000000";"0,000000";"0,623772";"-0,035762"
"SYNCOPE";"9";"88,52";"1,65";"2,94";"IBK";"true";"true";"true";"17";"316";"311";"2";"0,051051";"0,894737";"0,695375";"0,043355"
"SYNCOPE";"10";"89,68";"1,46";"3,40";"RANDOM_FOREST";"true";"true";"true";"1";"60";"565";"21";"0,016393";"0,045455";"0,413418";"-0,027246"
"SYNCOPE";"10";"89,68";"1,46";"3,40";"NAIVE_BAYES";"true";"true";"true";"0";"11";"614";"22";"0,000000";"0,000000";"0,188945";"-0,023195"
