"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"RANDOM_FOREST";"true";"true";"true";"0";"0";"489";"1";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"NAIVE_BAYES";"true";"true";"true";"0";"0";"489";"1";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"1";"49,95";"0,00";"0,20";"IBK";"true";"true";"true";"0";"0";"489";"1";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"RANDOM_FOREST";"true";"true";"true";"0";"0";"492";"0";"NaN";"NaN";"NaN";"1,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"NAIVE_BAYES";"true";"true";"true";"0";"0";"492";"0";"NaN";"NaN";"NaN";"1,000000"
"SYNCOPE";"2";"66,55";"0,41";"0,00";"IBK";"true";"true";"true";"0";"0";"492";"0";"NaN";"NaN";"NaN";"1,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"RANDOM_FOREST";"true";"true";"true";"0";"25";"467";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"NAIVE_BAYES";"true";"true";"true";"0";"55";"437";"0";"0,000000";"NaN";"NaN";"0,000000"
"SYNCOPE";"3";"74,94";"0,27";"0,00";"IBK";"true";"true";"true";"0";"0";"492";"0";"NaN";"NaN";"NaN";"1,000000"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"RANDOM_FOREST";"true";"true";"true";"0";"0";"519";"2";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"NAIVE_BAYES";"true";"true";"true";"0";"9";"510";"2";"0,000000";"0,000000";"0,491329";"-0,006321"
"SYNCOPE";"4";"79,03";"0,20";"0,38";"IBK";"true";"true";"true";"0";"0";"519";"2";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"RANDOM_FOREST";"true";"true";"true";"2";"1";"529";"57";"0,666667";"0,033898";"0,516006";"0,055359"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"NAIVE_BAYES";"true";"true";"true";"0";"0";"530";"59";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"5";"80,83";"0,16";"10,02";"IBK";"true";"true";"true";"3";"6";"524";"56";"0,333333";"0,050847";"0,519763";"0,063401"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"RANDOM_FOREST";"true";"true";"true";"4";"12";"564";"43";"0,250000";"0,085106";"0,532137";"0,092198"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"NAIVE_BAYES";"true";"true";"true";"5";"24";"552";"42";"0,172414";"0,106383";"0,532358";"0,078526"
"SYNCOPE";"6";"83,14";"0,20";"7,54";"IBK";"true";"true";"true";"30";"145";"431";"17";"0,171429";"0,638298";"0,693281";"0,171760"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"RANDOM_FOREST";"true";"true";"true";"5";"42";"561";"29";"0,106383";"0,147059";"0,538704";"0,065577"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"NAIVE_BAYES";"true";"true";"true";"5";"41";"562";"29";"0,108696";"0,147059";"0,539533";"0,067779"
"SYNCOPE";"7";"85,30";"1,22";"5,34";"IBK";"true";"true";"true";"18";"427";"176";"16";"0,040449";"0,529412";"0,410643";"-0,026661"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"RANDOM_FOREST";"true";"true";"true";"68";"145";"382";"51";"0,319249";"0,571429";"0,648143";"0,226905"
"SYNCOPE";"8";"87,03";"1,89";"18,42";"NAIVE_BAYES";"true";"true";"true";"25";"87";"440";"94";"0,223214";"0,210084";"0,522499";"0,046047"
